CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR;MATERIAL_TECHUMBRE;DENSIDAD_HOGAR;CONDICION_DE_HABITABILIDAD
TQRMNOSRRHKKKTCDEHMHF00867589;2024;3;1;1;42;N;26;344;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;3;2;0;1;2;1;2;0;2;0;1;;4;electrico;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;4;1;3;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;2;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOTQVHMMKNCDEHNHB00811432;2024;3;1;1;42;S;27;646;1;;4;1;;1;2;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;900000;5;6;6;5;;6;900000;9;10;10;9;;10;633;1;0;98;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNORQQHJMLMCDEFLID00862351;2024;3;1;1;43;S;5;297;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;0;2;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;0;98;0;0;0;Nuclear;Material durable;Bajo;Buena
TQRMNOSYSHJKKTCDEHMHF00865419;2024;3;2;1;42;N;26;364;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;Unipersonal;Material durable;Bajo;Buena
TQRMNOSRQHMOLMCDEHMHF00811287;2024;3;1;1;42;N;26;102;1;;1;1;;1;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;2;2;2;0;0;0;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;0;1;400000;2;2;2;;2;2;400000;6;7;7;;7;7;111;1;0;98;0;0;0;Unipersonal;Material durable;Medio;Buena
TQRMNOPQRHLOLNCDEHMHF00806172;2024;3;1;1;42;N;26;166;1;;2;1;;3;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;1;3;800000;5;5;5;;6;5;200000;3;3;3;;3;3;179;1;3;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOPQWHLMLOCDEHMHF00806188;2024;3;2;1;42;N;26;208;1;;4;1;;1;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;2;2;2;0;0;0;0;1;;2;;1;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;1;2;480000;2;3;3;;3;3;160000;2;2;2;;2;2;257;1;0;98;0;0;0;Nuclear;Material durable;Bajo;Buena
TQRMNOQRUHKKLLCDEIIAD00867590;2024;3;1;1;1;S;32;871;2;;3;1;;2;1;1;1;;1;1;1;1;2;1;2;3;3;2;0;1;2;2;2;0;2;0;1;;1;;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;3;0;3;0;12;;12;12;;12;0;12;;12;12;;12;0;2;0;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNOQYUHKMONCDEIJAH00867591;2024;3;1;1;1;S;33;2919;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;3;0;3;2100000;9;;9;9;;9;700000;8;;8;8;;9;4222;2;0;98;0;0;0;Nuclear;Material durable;Medio;Buena
TQRMNORRYHLOONCDEIJAH00807595;2024;3;1;1;1;S;33;3026;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1800000;9;;8;9;;9;900000;9;;9;9;;10;3330;1;0;2;0;0;0;Nuclear;Material durable;Medio;Buena
