"CODUSU";"ANO4";"TRIMESTRE";"NRO_HOGAR";"REALIZADA";"REGION";"MAS_500";"AGLOMERADO";"PONDERA";"IV1";"IV1_ESP";"IV2";"IV3";"IV3_ESP";"IV4";"IV5";"IV6";"IV7";"IV7_ESP";"IV8";"IV9";"IV10";"IV11";"IV12_1";"IV12_2";"IV12_3";"II1";"II2";"II3";"II3_1";"II4_1";"II4_2";"II4_3";"II5";"II5_1";"II6";"II6_1";"II7";"II7_ESP";"II8";"II8_ESP";"II9";"V1";"V2";"V21";"V22";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19_A";"V19_B";"IX_TOT";"IX_MEN10";"IX_MAYEQ10";"ITF";"DECIFR";"IDECIFR";"RDECIFR";"GDECIFR";"PDECIFR";"ADECIFR";"IPCF";"DECCFR";"IDECCFR";"RDECCFR";"GDECCFR";"PDECCFR";"ADECCFR";"PONDIH";"VII1_1";"VII1_2";"VII2_1";"VII2_2";"VII2_3";"VII2_4"
"TQRMNORXWHLOLTCDEIKAH00807961";2024;2;1;1;43;"S";34;869;2;"";2;1;"";3;1;1;1;"";1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;570000;"5";"5";"5";"5";"";"5";285000;"6";"6";"6";"6";"";"5";1080;1;2;98;0;0;0
"TQRMNOSUUHKKLSCDEIKAH00859600";2024;2;1;1;43;"S";34;743;1;"";4;1;"";1;1;1;1;"";1;1;1;1;2;2;2;4;3;1;1;1;1;1;2;0;2;0;1;"";1;"";1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;4;0;4;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;96;0;2;0;0;0
"TQRMNOPYPHJOLQCDEIKAH00862563";2024;2;1;1;43;"S";34;520;1;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;3;1;1;1;1;1;1;2;0;2;0;1;"";1;"";1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;1;0;1;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;96;0;98;0;0;0
"TQRMNOPUQHKMLUCDEIKAH00859270";2024;2;1;1;43;"S";34;602;1;"";3;1;"";1;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;1;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;3;0;3;284000;"2";"2";"2";"2";"";"2";94666,67;"2";"2";"1";"2";"";"1";1515;2;3;98;0;0;0
"TQRMNOQPTHMNLMCDEGJBF00799631";2024;2;1;1;43;"S";13;492;2;"";3;1;"";3;1;1;1;"";1;1;1;1;2;2;2;3;2;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;500000;"4";"4";"4";"4";"";"4";250000;"5";"6";"5";"5";"";"5";565;1;2;98;0;0;0
"TQRMNORWWHMNLMCDEGJBF00799728";2024;2;1;1;43;"S";13;448;1;"";4;1;"";2;1;1;1;"";1;1;1;1;2;2;2;4;3;1;1;1;2;2;2;0;2;0;1;"";2;"";1;1;2;2;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;2;2;2;2;5;1;4;486000;"4";"4";"4";"4";"";"4";97200;"2";"2";"1";"2";"";"1";524;2;0;98;0;0;0
"TQRMNOSPQHMMLNCDEGJBF00799795";2024;2;2;1;43;"S";13;592;2;"";3;2;"";2;1;1;1;"";1;1;1;3;2;2;2;3;2;2;0;1;2;2;2;0;2;0;6;"";2;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;1;2;2;2;2;4;0;4;0;"12";"12";"12";"12";"";"12";0;"12";"12";"12";"12";"";"12";0;1;0;98;0;0;0
"TQRMNOQVSHMOLOCDEGJBF00799742";2024;2;1;1;43;"S";13;1234;2;"";1;1;"";9;1;1;1;"";1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;1;"";1;"";1;2;1;2;1;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;2;1;0;1;555000;"5";"5";"5";"5";"";"5";555000;"9";"9";"9";"9";"";"9";1254;1;0;96;0;0;0
"TQRMNOTPQHMOLOCDEGJBF00799743";2024;2;1;1;43;"S";13;1187;2;"";2;1;"";9;1;1;1;"";1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;"";1;"";1;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;3;0;3;690000;"6";"6";"6";"6";"";"6";230000;"5";"5";"4";"5";"";"4";1265;1;2;98;0;0;0
"TQRMNOTPVHKLKTCDEGJBF00859309";2024;2;1;1;43;"S";13;734;1;"";2;1;"";1;1;1;1;"";1;1;1;1;2;2;2;2;1;1;1;1;1;2;2;0;2;0;1;"";1;"";1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;2;2;2;2;2;0;2;1100000;"8";"9";"8";"8";"";"9";550000;"9";"9";"9";"9";"";"9";800;1;0;2;0;0;0
