CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;V2_02;V2_03;V21_01;V22_01;V5_02;V5_03;V11_01;V11_02;V5_01;V21_02;V21_03;V22_02;V22_03;V2_01
TQRMNOQPQHJKQSCDEIJAH00876799;2024;4;1;1;1;S;33;293;1;;4;1;;2;1;1;2;;1;1;1;2;2;2;2;4;3;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;;;2;2;;2;2;2;2;2;;2;1;2;2;1;2;2;2;2;4;0;4;3200000;10;;10;10;;10;800000;9;;8;9;;9;732;1;2;3;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOQTTHKNQLCDEIJAH00871970;2024;4;1;1;1;S;33;1353;1;;4;1;;3;1;1;2;;1;2;1;1;2;2;2;4;3;2;0;1;2;1;2;0;2;0;1;;1;;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;4;0;4;2350000;9;;9;9;;9;587500;7;;7;7;;8;3195;2;3;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNORQTHMMLNCDEFIAH00808532;2024;4;1;1;43;S;2;564;1;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;1;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;6;1;5;1900000;9;9;9;9;;9;316666,67;4;5;4;4;;4;1270;2;3;98;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOQUTHLKKUCDEIIAD00854921;2024;4;1;1;1;S;32;350;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;2;2;0;2;0;2;;1;;1;1;1;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;2;0;2;2700000;10;;9;10;;9;1350000;10;;10;10;;9;496;1;2;96;0;0;0;2;1;2;2;2;2;2;2;2;2;2;2;2;1
TQRMNOSPUHMMKUCDEIIAD00812061;2024;4;1;1;1;S;32;2214;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;1;;4;electricidad;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;1;0;1;0;12;;12;12;;12;0;12;;12;12;;12;0;1;0;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOQPSHKKKRCDEIIAD00871402;2024;4;1;1;1;S;32;1089;1;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;4;;4;electricidad;1;1;2;;;2;1;;2;2;2;2;2;;1;2;2;1;2;1;2;2;2;4;0;4;903000;5;;5;5;;4;225750;3;;3;3;;1;1896;1;2;4;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOSTWHLKLOCDEIIAD00854922;2024;4;1;1;1;S;32;740;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;2;;;2;2;;2;2;2;2;1;;2;1;2;2;1;2;2;2;2;2;0;2;2240000;9;;9;9;;8;1120000;10;;9;10;;8;1240;2;0;1;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOSUVHLKLPCDEIIAD00861102;2024;4;1;1;1;S;32;729;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;2;;1;;1;2;1;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;0;2;720000;4;;4;4;;3;360000;5;;5;5;;3;813;1;0;2;0;0;0;1;2;2;2;2;2;2;2;2;2;2;1;2;1
TQRMNOQPYHKKLMCDEIIAD00871360;2024;4;1;1;1;S;32;2291;1;;3;1;;1;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;;;2;2;;2;2;2;2;2;;2;1;2;2;1;2;2;2;2;4;1;3;0;12;;12;12;;12;0;12;;12;12;;12;0;1;2;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOWPTHLOLUCDEHPJB00854392;2024;4;1;1;40;S;29;552;1;;3;1;;4;2;1;1;;1;1;1;2;1;2;2;3;2;2;0;1;1;2;2;0;2;0;1;;2;;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;5;3;2;1300000;7;7;8;7;;8;260000;3;4;5;3;;5;488;2;0;1;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOWRTHJMOPCDEIIAD00876800;2024;4;1;1;1;S;32;2143;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;2;2;2;0;0;0;0;3;;4;electricidad;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;2;0;2;1850000;9;;8;8;;7;925000;9;;9;9;;7;3267;1;0;2;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOWRUHJMOPCDEIIAD00876801;2024;4;1;1;1;S;32;1052;2;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;2;2;2;0;0;0;0;3;;4;electricidad;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;0;2;4500000;10;;10;10;;10;2250000;10;;10;10;;10;1682;1;0;2;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOUTRHLLOQCDEIIAD00854770;2024;4;1;1;1;S;32;4001;2;;2;1;;2;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;2;1;2;2;0;2;0;6;;1;;1;1;2;;;2;2;;2;2;2;2;2;;2;1;1;2;1;2;2;2;2;2;0;2;600000;3;;3;3;;2;300000;4;;4;4;;2;5722;1;2;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNORRTHKOKTCDEFJAH00872103;2024;4;1;1;43;N;3;247;2;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;0;2;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;2;98;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1
TQRMNOTSYHKOKTCDEFJAH00872104;2024;4;1;1;43;N;3;238;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;;;2;2;;2;2;2;2;2;;2;1;2;2;2;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;96;0;98;0;0;0;2;1;2;2;2;2;2;2;2;2;2;2;2;1
TQRMNOPPXHKNKUCDEFJAH00871946;2024;4;1;1;43;N;3;161;1;;4;1;;3;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;1;2;0;2;0;6;;1;;1;1;2;;;2;2;;2;2;2;2;2;;2;2;1;2;1;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOPYTHKMLLCDEFJAH00871934;2024;4;1;1;43;N;3;297;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;8;;1;;1;1;2;;;2;2;;2;2;2;2;2;;2;1;2;2;2;1;2;2;2;1;0;1;30000;1;1;1;;1;1;30000;1;1;1;;1;1;350;1;0;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNORYUHKMLNCDEFJAH00869741;2024;4;2;1;43;N;3;343;1;;3;1;;3;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;;;2;2;;2;2;2;2;2;;1;1;2;2;2;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;1;2;2;2;2;2;2;2;2;2;2;1;2;2
TQRMNOPVRHMLKUCDEFJAH00808700;2024;4;1;1;43;N;3;308;2;;4;1;;4;1;1;1;;1;1;1;1;2;2;2;4;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;;;2;2;;2;2;2;2;2;;2;1;2;2;2;2;2;2;2;2;0;2;1300000;7;8;7;;8;7;650000;8;8;8;;8;8;596;1;0;2;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1
TQRMNORTQHLMSUCDEIJAH00876905;2024;4;1;1;1;S;33;1970;2;;3;1;;2;1;1;1;;1;1;1;1;2;2;2;3;2;2;0;2;2;2;0;0;0;0;3;;1;;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;2;0;2;1100000;6;;6;6;;6;550000;7;;7;7;;8;2387;1;0;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNORVQHLMSUCDEIJAH00876906;2024;4;1;1;1;S;33;2281;1;;2;1;;2;1;1;2;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;6;;1;;1;1;2;;;2;2;;2;2;2;2;2;;2;1;1;2;1;2;2;2;2;2;0;2;1060000;6;;6;6;;6;530000;7;;7;7;;7;4120;1;2;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOPSSHKOLOCDEFIAH00872078;2024;4;1;1;43;S;2;969;1;;3;2;;4;1;1;1;;1;1;2;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;6;;2;;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;3;0;3;660000;3;4;3;3;;3;220000;3;3;2;3;;3;1984;1;0;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOPTQHJNLRCDEFIAH00876907;2024;4;1;1;43;S;2;629;1;;3;1;;2;1;1;1;;1;1;1;2;2;2;2;3;3;2;0;1;1;1;2;0;1;1;1;;2;;2;1;2;;;2;2;;2;2;2;2;2;;2;1;1;2;2;2;2;2;2;5;0;5;1640000;8;9;8;8;;8;328000;5;5;4;5;;4;1096;1;0;5;0;0;0;0;0;2;2;2;2;2;2;1;2;2;2;2;0
TQRMNORTYHJNLRCDEFIAH00876908;2024;4;1;1;43;S;2;717;1;;3;1;;4;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;;;2;2;;2;2;2;2;2;;2;1;1;2;1;2;2;2;2;1;0;1;800000;4;5;4;4;;5;800000;9;9;9;9;;8;776;1;0;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOPRTHJMLSCDEFIAH00876909;2024;4;1;1;43;S;2;561;1;;2;1;;4;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;1;1;2;0;2;0;1;;1;;1;2;1;;;2;2;;2;2;2;2;2;;2;1;2;2;2;2;2;2;2;1;0;1;1000000;5;6;6;5;;6;1000000;9;10;9;9;;9;665;1;0;98;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1
TQRMNOQURHJMLSCDEFIAH00876910;2024;4;1;1;43;S;2;575;1;;3;1;;5;1;1;1;;1;1;1;1;2;2;2;3;3;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;0;2;725000;4;4;4;4;;4;362500;5;5;5;5;;5;1024;1;0;2;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1
TQRMNOSRXHMOLTCDEFIAH00808541;2024;4;1;1;43;S;2;1462;1;;3;1;;1;2;1;1;;1;1;1;2;2;2;2;3;3;2;0;1;1;1;2;0;2;0;1;;2;;1;1;1;;;2;2;;2;2;2;2;2;;2;2;2;2;1;2;2;2;2;2;0;2;2100000;9;9;9;9;;9;1050000;9;10;10;9;;9;1718;1;0;98;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1
TQRMNOSRYHMOLTCDEFIAH00808526;2024;4;1;1;43;S;2;1201;1;;1;1;;2;1;1;1;;1;1;1;3;2;2;2;1;1;2;0;1;1;2;2;0;2;0;1;;2;;1;2;1;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;1;0;1;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;97;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1
TQRMNORSTHKMLQCDEFIAH00876911;2024;4;1;1;43;S;2;597;2;;1;1;;2;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;2;2;2;0;2;0;2;;2;;1;2;1;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;2;0;2;500000;2;2;2;2;;3;250000;3;3;3;3;;3;758;1;0;2;0;0;0;1;2;2;2;2;2;2;2;2;2;2;2;2;2
TQRMNOPPYHMOKSCDEGPDJ00810607;2024;4;1;1;40;N;19;200;1;;4;1;;2;1;1;1;;1;1;1;1;2;2;2;4;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;1;;;2;2;;2;2;2;2;2;;2;1;2;2;1;2;2;2;2;4;0;4;1500000;8;8;9;;8;9;375000;5;6;7;;6;7;200;3;2;98;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;1
TQRMNORURHLOLQCDEFJAH00851730;2024;4;1;1;43;N;3;380;1;;2;1;;2;1;1;1;;1;1;1;2;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;5;1;4;1000000;6;6;6;;6;6;200000;2;3;2;;3;1;518;2;1;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOPPRHJMLTCDEFJAH00876912;2024;4;1;1;43;N;3;400;1;;3;1;;1;1;1;1;;1;1;1;2;2;2;2;3;1;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;;;2;2;;2;2;1;2;2;;2;2;2;2;1;2;2;2;2;1;0;1;0;12;12;12;;12;12;0;12;12;12;;12;12;0;1;0;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
TQRMNOSXSHKOKNCDEFOCD00872338;2024;4;1;1;41;N;8;263;1;;1;1;;4;1;1;1;;1;1;1;1;2;2;2;1;1;2;0;1;1;1;2;0;2;0;3;;2;;1;1;2;;;2;2;;2;2;2;2;2;;2;2;2;2;2;2;2;2;2;1;0;1;500000;2;2;3;;2;4;500000;7;7;9;;7;9;328;1;0;98;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;0
